Element,Ion,Lambda,Vr,Vr_err,Vsini,Vsini_err,Abun,Abun_err,Chi_sq,Tau5000,Energy
14.0,1.0,3853.6645,-88.1526,0.0128,0.5874,2.2687,-5.3954,0.0245,0.2678,-4.1305,55309.35
14.0,1.0,3856.0175,-88.6234,0.0194,6.7321,0.3557,-5.6082,0.0465,0.24738,-5.2345,55325.18
14.0,1.0,3862.5954,-88.7949,0.0042,6.3991,0.0751,-5.1595,0.0127,5.54524,-4.7976,55309.35
14.0,1.0,4128.0536,-83.697,0.0085,8.3887,0.0825,-3.9729,0.0132,1.01076,-3.0023,79338.5
14.0,1.0,4130.8715,-88.1535,0.0063,8.4863,0.0702,-4.8486,0.0076,8.82547,-1.4054,79355.02
14.0,1.0,5041.0238,-93.8624,0.0037,15.7267,0.0151,-3.0246,0.0021,51.9928,-2.5472,81191.34
14.0,1.0,5055.9841,-87.1068,0.0029,9.3731,0.0347,-4.5492,0.0027,4.89769,-3.0023,81251.32
14.0,1.0,5466.4607,-90.549,0.0029,8.1052,0.0,-2.0319,0.003,70.641,-0.4884,101023.0
14.0,1.0,5978.9296,-88.7381,0.0021,9.0382,0.0327,-4.3605,0.0011,24.8065,-2.5472,81251.32
14.0,1.0,6347.1087,-87.9927,0.004,7.3191,0.1174,-5.0065,0.0093,0.78803,-4.7976,65500.47
14.0,1.0,6371.3714,-88.8556,0.0032,7.1984,0.0548,-5.0979,0.0048,1.21082,-4.5764,65500.47
